"country","year","iso","old_dep","youth_dep","tot_dep","cc","adj_factor","qamys_piaac","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","qamys_dhs_full","qamys_dhs_part","edu_exp_","tp_","hlo","qamys","adj_fact_dhs","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","adj_fit","adj_lwr1","adj_upr1","qamys_pred","plot"
"Afghanistan",1970,4,0.05,0.83,0.88,"Afghanistan",NA,NA,0.56,0.018,0.541573761058764,0.432199884916924,0.0262263540243113,0.87108177,NA,NA,0.0123514,39.24977,353.09,NA,NA,1,0,0,0,0,0,0,0,0,0,0.166085146347465,0.155010028431525,0.177951556530706,0.296580618477616,0.276803622199151,0.317770636661975,0.166085146347465,3
"Afghanistan",1975,4,0.05,0.86,0.91,"Afghanistan",NA,NA,0.74,0.0259999999999999,0.553472961591635,0.42117306806083,0.0253539703475345,0.81842316,NA,NA,0.0152157,36.5322,362.39001,NA,NA,0,1,0,0,0,0,0,0,0,0,0.229907671720711,0.215312669530967,0.245491998363041,0.310686042865825,0.290963066933739,0.331745943733839,0.229907671720711,3
"Afghanistan",1980,4,0.05,0.89,0.94,"Afghanistan",NA,NA,0.96,0.038,0.563348125524468,0.412535814994292,0.0241160594812401,0.80280991,NA,NA,0.0182669,37.87589,372,NA,NA,0,0,1,0,0,0,0,0,0,0,0.297007092958397,0.278274220664033,0.31700102530913,0.30938238849833,0.289868979858368,0.330209401363677,0.297007092958397,3
"Afghanistan",1985,4,0.04,0.95,0.99,"Afghanistan",NA,NA,1.2,0.0510000000000001,0.578981561423455,0.399100724036826,0.0219177145397194,0.75886818,NA,NA,0.0245464,36.40558,381.91,NA,NA,0,0,0,1,0,0,0,0,0,0,0.38180622707625,0.358114749677452,0.407065040369042,0.318171855896875,0.298428958064543,0.339220866974201,0.38180622707625,3
"Afghanistan",1990,4,0.04,0.98,1.03,"Afghanistan",NA,NA,1.39,0.063,0.588533480361096,0.389552251088307,0.021914268550597,0.70925781,NA,NA,0.0244999,49.26471,392.14001,NA,NA,0,0,0,0,1,0,0,0,0,0,0.471869788948219,0.443740084236404,0.501782700350807,0.339474668308071,0.319237470673672,0.360994748453818,0.471869788948219,3
"Afghanistan",1995,4,0.05,0.98,1.02,"Afghanistan",NA,NA,1.55,0.0690000000000001,0.588272126363792,0.388725788444612,0.0230020851915954,0.65703362,NA,NA,0.0267133,32.64443,402.70999,NA,NA,0,0,0,0,0,1,0,0,0,0,0.532762796662813,0.511926080485331,0.554447621107507,0.343717933330847,0.330274890635697,0.357708142650004,0.532762796662813,3
"Afghanistan",2000,4,0.05,1.01,1.05,"Afghanistan",NA,NA,1.72,0.0759999999999999,0.595026491198086,0.382820432907396,0.0221530758945178,0.60293983,NA,NA,0.033177,31.86219,313.36749,NA,NA,0,0,0,0,0,0,1,0,0,0,0.595368954245917,0.576498547792896,0.614857041768674,0.346144740840649,0.335173574298195,0.357475024284113,0.595368954245917,3
"Afghanistan",2005,4,0.04,0.97,1.02,"Afghanistan",NA,NA,2.03,0.0889999999999999,0.588478332126078,0.39003387059571,0.0214877972782123,0.5429303,NA,NA,0.0284945,42.91563,401.54001,NA,NA,0,0,0,0,0,0,0,1,0,0,0.802539778837507,0.777543452661536,0.828339682382894,0.395339792530792,0.383026331360362,0.408049104622115,0.802539778837507,3
"Afghanistan",2010,4,0.05,0.98,1.03,"Afghanistan",NA,NA,2.51,0.112,0.588485923173812,0.38913048067383,0.0223835961523576,0.68258881,NA,NA,0.0287031,44.58134,398.14999,NA,NA,0,0,0,0,0,0,0,0,1,0,0.842516989826879,0.808325540020281,0.878154707482254,0.335664139373258,0.322042047816845,0.349862433259862,0.842516989826879,3
"Afghanistan",2015,4,0.05,0.84,0.89,"Afghanistan",0.2651454776,NA,3.17,0.139,0.562305129755427,0.4127662979692,0.0249285722753731,0.56980282,1.05063895499,0.78085493843,0.0287094,46.18569,433.92001,0.840511163992,0.2651454776,0,0,0,0,0,0,0,0,0,1,1.25795866996906,1.21303011383568,1.30455130280854,0.396832388002859,0.382659341904001,0.41153037943487,0.840511163992,3
"Albania",1970,8,0.1,0.76,0.86,"Albania",NA,NA,5.52,0.171,0.507579280200874,0.440481726029945,0.0519389937691807,0.45361618,NA,NA,0.0213403,24.05337,412.34,NA,NA,1,0,0,0,0,0,0,0,0,0,2.96954617877394,2.83427923801834,3.11126878029011,0.537961264270641,0.513456383698974,0.563635648603281,2.96954617877394,2
"Albania",1975,8,0.09,0.69,0.79,"Albania",NA,NA,6.63,0.228,0.496910380292788,0.4511259486584,0.0519636710488118,0.37975117,NA,NA,0.0250327,19.13892,427.87,NA,NA,0,1,0,0,0,0,0,0,0,0,3.88584753091737,3.71705488963135,4.06230509957149,0.586100683396285,0.560641763141984,0.612715701292834,3.88584753091737,2
"Albania",1980,8,0.09,0.61,0.7,"Albania",NA,NA,7.67,0.289,0.47187826346412,0.47512307921826,0.052998657317619,0.31633141,NA,NA,0.0305119,17.94964,480.24084,NA,NA,0,0,1,0,0,0,0,0,0,0,4.94047813038957,4.72082194426805,5.17035474860343,0.644130134340231,0.615491778913697,0.674101010248166,4.94047813038957,2
"Albania",1985,8,0.09,0.56,0.65,"Albania",NA,NA,8.52,0.348,0.443069974383174,0.502932452474046,0.0539975731427801,0.26108137,NA,NA,0.0269645,17.73649,458.84,NA,NA,0,0,0,1,0,0,0,0,0,0,5.67875081539393,5.43816961636091,5.9299751751614,0.666520048755156,0.638282818821703,0.69600647595791,5.67875081539393,2
"Albania",1990,8,0.09,0.53,0.62,"Albania",NA,NA,9.15,0.396,0.424409568794758,0.520554624409569,0.0550358067956727,0.21345938,NA,NA,0.0344698,15.68515,457.15601,NA,NA,0,0,0,0,1,0,0,0,0,0,6.49544287844613,6.22384979810203,6.77888759462393,0.70988446758974,0.680202163726998,0.740862032199336,6.49544287844613,2
"Albania",1995,8,0.11,0.54,0.64,"Albania",NA,NA,9.53,0.424,0.421926803360479,0.513631827984678,0.0644413686548428,0.1743873,NA,NA,0.0348151,22.75761,481.202,NA,NA,0,0,0,0,0,1,0,0,0,0,6.85603349012625,6.72623413083225,6.98833764978036,0.719415896130771,0.705795816456689,0.733298809001087,6.85603349012625,2
"Albania",2000,8,0.11,0.48,0.6,"Albania",NA,NA,9.92,0.453,0.394939141575913,0.534304932735426,0.0707559256886611,0.012870178,NA,NA,0.0209072,21.93856,400.65,NA,NA,0,0,0,0,0,0,1,0,0,0,8.27942736342412,8.08444534719998,8.47911198879683,0.834619693893561,0.814964248709675,0.854749192419036,8.27942736342412,2
"Albania",2005,8,0.13,0.41,0.54,"Albania",NA,NA,10.19,0.476,0.368698976286121,0.545613580406894,0.0856874433069846,0.040613632,NA,NA,0.0324965,19.79287,399.32,NA,NA,0,0,0,0,0,0,0,1,0,0,8.30271527468368,8.13124079060893,8.47780587337685,0.814790507819792,0.797962786124527,0.831973098466815,8.30271527468368,2
"Albania",2010,8,0.16,0.34,0.5,"Albania",0.7956135728,NA,10.37,0.493,0.322633297062024,0.569266866158868,0.108099836779108,0.029538651,10.31314093742,9.55843963126,0.0035393,19.41964,402.75,8.250512749936,0.7956135728,0,0,0,0,0,0,0,0,1,0,8.68300110564908,8.5017839428237,8.86808094721616,0.83731929659104,0.819844160349441,0.855166918728656,8.250512749936,2
"Albania",2015,8,0.18,0.26,0.44,"Albania",0.7988217056,NA,10.57,0.517,0.265795505079875,0.60883248383676,0.125372011083365,0.018588486,10.55443178524,10.27772525164,0.0336974,18.08292,436.73,8.443545428192,0.7988217056,0,0,0,0,0,0,0,0,0,1,9.2757412089178,9.09903593431966,9.45587813872603,0.877553567541892,0.860835944590318,0.894595850399814,8.443545428192,2
"Algeria",1970,12,0.07,0.94,1.02,"Algeria",NA,NA,1.86,0.0290000000000001,0.57852233676976,0.386323024054983,0.0351546391752577,0.73225815,NA,NA,0.0393853,40.00059,486.20001,NA,NA,1,0,0,0,0,0,0,0,0,0,0.71954778303145,0.672900021736499,0.769429328787003,0.386853646791102,0.361774205234677,0.41367168214355,0.71954778303145,2
"Algeria",1975,12,0.07,0.94,1.01,"Algeria",NA,NA,2.73,0.0510000000000001,0.577035405644794,0.387002369951883,0.0359622244033227,0.66041801,NA,NA,0.0718201,39.35215,486.20001,NA,NA,0,1,0,0,0,0,0,0,0,0,1.12909724326786,1.05989998229478,1.20281215779898,0.413588733797751,0.38824175175633,0.440590533992299,1.12909724326786,2
"Algeria",1980,12,0.07,0.92,0.99,"Algeria",NA,NA,3.7,0.083,0.573785920766172,0.391778753419486,0.0344353258143419,0.5809679,NA,NA,0.0659742,33.53637,486.20001,NA,NA,0,0,1,0,0,0,0,0,0,0,1.64377744132502,1.54951200634407,1.74377756709621,0.444264173331087,0.41878702874164,0.471291234350328,1.64377744132502,2
"Algeria",1985,12,0.07,0.89,0.95,"Algeria",NA,NA,4.79,0.123,0.562968904408865,0.403134818465029,0.0338962771261062,0.50369122,NA,NA,0.0508133,27.9779,219.3,NA,NA,0,0,0,1,0,0,0,0,0,0,1.90778033138762,1.80382386295651,2.01772793207428,0.398283994026644,0.376581182245617,0.421237564107366,1.90778033138762,2
"Algeria",1990,12,0.06,0.81,0.88,"Algeria",NA,NA,5.87,0.171,0.544866550377425,0.421346536793196,0.033786912829379,0.42782051,NA,NA,0.0450366,27.68756,219.3,NA,NA,0,0,0,0,1,0,0,0,0,0,2.57335716097585,2.44034300179166,2.71362143480807,0.438391339178169,0.415731346131458,0.462286445452822,2.57335716097585,2
"Algeria",1995,12,0.06,0.7,0.77,"Algeria",NA,NA,6.89,0.222,0.514010026189875,0.449469456101687,0.0365205177084378,0.35962315,NA,NA,0.0400918,27.5337,340.81897,NA,NA,0,0,0,0,0,1,0,0,0,0,3.3885483227593,3.32036244190534,3.45813444663769,0.491806723187127,0.481910368926754,0.50190630575293,3.3885483227593,2
"Algeria",2000,12,0.07,0.56,0.63,"Algeria",NA,NA,7.65,0.275,0.463846380789902,0.492803909747431,0.0433497094626663,0.30126503,NA,NA,0.0400722,27.57514,375.815,NA,NA,0,0,0,0,0,0,1,0,0,0,4.19818389392512,4.1245458499568,4.27313664300686,0.548782208356224,0.539156320255791,0.558579953334229,4.19818389392512,2
"Algeria",2005,12,0.07,0.44,0.52,"Algeria",NA,NA,8.44,0.342,0.407776876633324,0.542831395872758,0.0493917274939173,0.26107635,NA,NA,0.0433702,24.01662,390.17,NA,NA,0,0,0,0,0,0,0,1,0,0,4.99023632844059,4.90344954989325,5.07855915724276,0.591260228488222,0.580977434821475,0.601725018630659,4.99023632844059,2
"Algeria",2010,12,0.08,0.4,0.49,"Algeria",NA,NA,9.13,0.408,0.372892710230702,0.572446476916007,0.0546608128532911,0.21009813,NA,NA,0.0356564,23.33632,379.65332,NA,NA,0,0,0,0,0,0,0,0,1,0,5.80762000001122,5.70167182084644,5.91553690291547,0.636102957284909,0.624498556500157,0.647922990461716,5.80762000001122,2
"Algeria",2015,12,0.09,0.44,0.53,"Algeria",NA,NA,9.7,0.473,0.362151859050724,0.579151043952599,0.0586970969966769,0.18592163,NA,NA,0.0396937,24.15421,375.14,NA,NA,0,0,0,0,0,0,0,0,0,1,6.45038613687574,6.3225694964567,6.58078670991541,0.664988261533582,0.651811288294505,0.678431619578908,6.45038613687574,2
"Angola",1970,24,0.05,0.97,1.02,"Angola",NA,NA,0.66,0.00599999999999994,0.58054255742117,0.393981099183411,0.0254763433954185,0.71674934,NA,NA,0.0350471,40.11174,486.20001,NA,NA,1,0,0,0,0,0,0,0,0,0,0.257454248899582,0.241073392089477,0.274948179481569,0.390082195302398,0.365262715287086,0.41658815072965,0.257454248899582,3
"Angola",1975,24,0.05,0.99,1.04,"Angola",NA,NA,0.82,0.00700000000000003,0.58458938830686,0.389888475836431,0.0255221358567083,0.66826813,NA,NA,0.0545101,50.13342,486.20001,NA,NA,0,1,0,0,0,0,0,0,0,0,0.330744679392623,0.310312740191532,0.352521919915405,0.403347169991004,0.378430170965283,0.42990478038464,0.330744679392623,3
"Angola",1980,24,0.05,1.02,1.08,"Angola",NA,NA,1.05,0.0100000000000001,0.591252938575053,0.383434583246049,0.0253124781788981,0.56009636,NA,NA,0.0384105,33.34781,486.20001,NA,NA,0,0,1,0,0,0,0,0,0,0,0.467772479236246,0.441128919983027,0.496025271567422,0.445497599272615,0.420122780936216,0.472405020540402,0.467772479236246,3
"Angola",1985,24,0.05,1.05,1.1,"Angola",NA,NA,1.32,0.0140000000000002,0.596487449582958,0.378656459255198,0.0248560911618436,0.52062386,NA,NA,0.0495714,32.09739,219.3,NA,NA,0,0,0,1,0,0,0,0,0,0,0.499223277453592,0.472842043926047,0.527076396764932,0.378199452616358,0.358213669640944,0.399300300579494,0.499223277453592,3
"Angola",1990,24,0.05,1.06,1.11,"Angola",NA,NA,1.63,0.0210000000000001,0.601299023592938,0.374466227953824,0.0242347484532377,0.42994389,NA,NA,0.0290529,29.52888,219.3,NA,NA,0,0,0,0,1,0,0,0,0,0,0.685749320431174,0.651179300377543,0.722154605036081,0.420705104559002,0.399496503299106,0.443039634991461,0.685749320431174,3
"Angola",1995,24,0.05,1.05,1.1,"Angola",NA,NA,1.89,0.028,0.601809987908988,0.374586890411461,0.0236031216795515,0.42035908,NA,NA,0.0256712,41.75324,351.95999,NA,NA,0,0,0,0,0,1,0,0,0,0,0.828252906717306,0.808516909290416,0.848470662274371,0.438229051173178,0.427786724492283,0.448926276335646,0.828252906717306,3
"Angola",2000,24,0.05,1.04,1.09,"Angola",NA,NA,2.09,0.0339999999999999,0.599897809286581,0.376917672606502,0.023184518106917,0.32594582,NA,NA,0.0260753,48.8688,303.46768,NA,NA,0,0,0,0,0,0,1,0,0,0,0.995400636536108,0.970499569639124,1.02094061472374,0.476268247146463,0.464353861071351,0.488488332403702,0.995400636536108,3
"Angola",2005,24,0.05,1.04,1.09,"Angola",0.5007516328,NA,2.25,0.04,0.599690339008653,0.37720916682851,0.0231004941628364,0.31799746,1.40836396725,1.03522714875,0.0220079,41.0124,316.20334,1.1266911738,0.5007516328,0,0,0,0,0,0,0,1,0,0,1.09289376985114,1.06645829023762,1.11998453489756,0.485730564378282,0.473981462327832,0.497770904398914,1.1266911738,3
"Angola",2010,24,0.05,1.05,1.1,"Angola",0.4845722592,NA,2.47,0.0490000000000001,0.602303123724895,0.375078206465068,0.0226186698100376,0.33969887,1.49611685028,1.15143550587,0.0342132,44.06479,320.315,1.196893480224,0.4845722592,0,0,0,0,0,0,0,0,1,0,1.17437915627946,1.14698911762192,1.20242326759221,0.475457148291279,0.464368063814542,0.486811039511017,1.196893480224,3
"Angola",2015,24,0.05,0.93,0.98,"Angola",0.5717802144,NA,2.91,0.0630000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,0.2908198,2.07985052988,1.67016916554,0.0315227,50.02951,385.15424,1.663880423904,0.5717802144,0,0,0,0,0,0,0,0,0,1,1.53887117536787,1.50223499704575,1.57640082878855,0.528821709748408,0.51623195774768,0.54171849786548,1.663880423904,3
"Antigua and Barbuda",1970,28,0.07,0.75,0.83,"Antigua and Barbuda",NA,NA,NA,NA,0.530551415797317,0.429210134128167,0.0402384500745156,0.17808514,NA,NA,0.0431306,25.30054,356.81747,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",1975,28,0.08,0.69,0.76,"Antigua and Barbuda",NA,NA,NA,NA,0.504895104895105,0.451748251748252,0.0433566433566434,0.2110346,NA,NA,0.0529002,24.10168,350.13376,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",1980,28,0.09,0.58,0.67,"Antigua and Barbuda",NA,NA,NA,NA,0.461852861035422,0.486376021798365,0.0517711171662125,0.13758053,NA,NA,0.0377674,24.72464,348.72498,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",1985,28,0.1,0.5,0.59,"Antigua and Barbuda",NA,NA,NA,NA,0.42836676217765,0.511461318051576,0.0601719197707736,0.16747963,NA,NA,0.0338099,24.19762,350.52875,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",1990,28,0.12,0.51,0.63,"Antigua and Barbuda",NA,NA,NA,NA,0.403298350824588,0.521739130434783,0.0749625187406297,0.10757634,NA,NA,0.0410541,21.63677,332.75375,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",1995,28,0.13,0.49,0.61,"Antigua and Barbuda",NA,NA,NA,NA,0.383152173913043,0.539402173913043,0.077445652173913,0.13912856,NA,NA,0.0275397,20.41527,424.97501,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",2000,28,0.1,0.46,0.56,"Antigua and Barbuda",NA,NA,NA,NA,0.375598086124402,0.558612440191388,0.0657894736842105,0.010500031,NA,NA,0.0339428,18.74101,391.95975,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",2005,28,0.1,0.44,0.54,"Antigua and Barbuda",NA,NA,NA,NA,0.369955156950673,0.562780269058296,0.0672645739910314,0.099192209,NA,NA,0.0251724,18.28569,419.245,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",2010,28,0.1,0.4,0.5,"Antigua and Barbuda",NA,NA,NA,NA,0.353748680042239,0.579725448785639,0.0665258711721225,0.010500031,NA,NA,0.0495082,14.41729,435.06,NA,NA,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,2
"Antigua and Barbuda",2015,28,0.1,0.36,0.45,"Antigua and Barbuda",NA,NA,10.8,0.523,0.332,0.602,0.066,0.010500031,NA,NA,0.0426422,12.93189,390.91666,NA,NA,0,0,0,0,0,0,0,0,0,1,9.11077218749758,8.87667289431463,9.35104524417517,0.843590017360887,0.821914156880985,0.865837522608812,9.11077218749758,2
"Argentina",1970,32,0.11,0.46,0.57,"Argentina",NA,NA,6.75,0.163,0.382567888874984,0.547236474366996,0.0701956367580194,0.067430353,NA,NA,0.0133894,19.01778,340.60999,NA,NA,1,0,0,0,0,0,0,0,0,0,5.52944373131531,5.27946026022518,5.79126396842659,0.819176849083749,0.7821422607741,0.857965032359495,5.52944373131531,2
"Argentina",1975,32,0.12,0.46,0.58,"Argentina",NA,NA,7.16,0.197,0.37903863121955,0.544400966739556,0.0765604020408946,0.060528488,NA,NA,0.0148113,18.31628,332.81,NA,NA,0,1,0,0,0,0,0,0,0,0,5.79640065117517,5.53142964244258,6.07406451510201,0.809553163571951,0.772546039447288,0.848333032835476,5.79640065117517,2
"Argentina",1980,32,0.13,0.49,0.63,"Argentina",NA,NA,7.59,0.234,0.385556057624912,0.532333068857429,0.08211087351766,0.060871429,NA,NA,0.0173412,20.26527,330.35999,NA,NA,0,0,1,0,0,0,0,0,0,0,6.00366571444133,5.7272098706819,6.29346624702384,0.790996800321651,0.754573105491686,0.829178688672443,6.00366571444133,2
"Argentina",1985,32,0.14,0.51,0.65,"Argentina",NA,NA,8.02,0.274,0.389727102508498,0.524158651077539,0.0861142464139631,0.046564274,NA,NA,0.0094944,19.674,332.04001,NA,NA,0,0,0,1,0,0,0,0,0,0,6.33102621578788,6.04024693364997,6.6358036989678,0.789404765060833,0.75314799671446,0.827406945008454,6.33102621578788,2
"Argentina",1990,32,0.15,0.51,0.66,"Argentina",NA,NA,8.46,0.318,0.391861214737685,0.5176032777569,0.0905355075054156,0.038718033,NA,NA,0.0106738,17.53274,309.655,NA,NA,0,0,0,0,1,0,0,0,0,0,6.69407861561748,6.37309712666826,7.03122636003093,0.791262247708922,0.753321173365043,0.83111422695401,6.69407861561748,2
"Argentina",1995,32,0.16,0.48,0.63,"Argentina",NA,NA,8.9,0.361,0.386388834912616,0.518139837918776,0.0954713271686079,0.03456527,NA,NA,0.0409784,18.77681,377.66,NA,NA,0,0,0,0,0,1,0,0,0,0,7.05470294428879,6.872823890823,7.24139515616153,0.79266325216728,0.772227403463258,0.813639905186689,7.05470294428879,2
"Argentina",2000,32,0.16,0.45,0.61,"Argentina",NA,NA,9.31,0.405,0.367709640423666,0.533174121297983,0.0991162382783512,0.028066864,NA,NA,0.0409059,18.40756,409.87,NA,NA,0,0,0,0,0,0,1,0,0,0,7.68239830851669,7.51277663192243,7.85584966281603,0.825177047101685,0.806957747789735,0.843807697402367,7.68239830851669,2
"Argentina",2005,32,0.16,0.43,0.59,"Argentina",NA,NA,9.68,0.448,0.355334215514467,0.543563228374215,0.101102556111318,0.012028885,NA,NA,0.0376199,17.05465,405.44,NA,NA,0,0,0,0,0,0,0,1,0,0,8.20482812885188,8.02167506354018,8.39216299473109,0.847606211658252,0.828685440448366,0.866958987058997,8.20482812885188,2
"Argentina",2010,32,0.16,0.41,0.57,"Argentina",NA,NA,9.98,0.487,0.342775290002377,0.55317801852328,0.104046691474342,0.009431259,NA,NA,0.0529084,20.11731,413.27,NA,NA,0,0,0,0,0,0,0,0,1,0,8.61123136780273,8.42983543838288,8.79653063358669,0.862848834449171,0.844672889617523,0.881415895148967,8.61123136780273,2
"Argentina",2015,32,0.17,0.39,0.57,"Argentina",NA,NA,10.31,0.531,0.331231729987354,0.559487967418621,0.109280302594025,0.0089705402,NA,NA,0.0559461,18.36141,429.38,NA,NA,0,0,0,0,0,0,0,0,0,1,9.11660267834278,8.93988728304585,9.29681121957614,0.884248562399882,0.867108368869627,0.90172756736917,9.11660267834278,2
"Armenia",1970,51,0.1,0.71,0.81,"Armenia",0.967914059714752,7.45293825980359,7.7,0.554,0.495782345253653,0.448655498792127,0.0555621559542196,0.47610863,NA,NA,0.0299166,27.5038,454.76752,7.45293825980359,0.967914059714752,1,0,0,0,0,0,0,0,0,0,4.54864202656363,4.29124715140778,4.8214757984828,0.590732730722549,0.557304824858153,0.626165688114649,7.45293825980359,1
"Armenia",1975,51,0.1,0.57,0.67,"Armenia",0.971289166326865,8.43078996371719,8.68,0.653,0.464456317893917,0.477442411804253,0.0581012703018294,0.4294355,NA,NA,0.0352167,23.22307,459.55893,8.43078996371719,0.971289166326865,0,1,0,0,0,0,0,0,0,0,5.43419291135463,5.12556723070885,5.76140186414705,0.626059091169889,0.590503137178438,0.663755975132148,8.43078996371719,1
"Armenia",1980,51,0.09,0.48,0.57,"Armenia",0.967793289324062,9.16500244989887,9.47,0.737,0.420290323623549,0.519996120397013,0.0597135559794381,0.37220085,NA,NA,0.0421083,21.61777,442.97964,9.16500244989887,0.967793289324062,0,0,1,0,0,0,0,0,0,0,6.19218993629236,5.84224078233601,6.56310098054346,0.653874333293808,0.616920885146357,0.69304128622423,9.16500244989887,1
"Armenia",1985,51,0.08,0.46,0.55,"Armenia",0.96872162658253,9.65815461702783,9.97,0.796,0.389920105724755,0.55586592178771,0.0542139724875353,0.012480392,NA,NA,0.0390924,22.12853,464.84506,9.65815461702783,0.96872162658253,0,0,0,1,0,0,0,0,0,0,10.0226345055872,9.53442715088262,10.5358403649126,1.005279288424,0.956311650038377,1.05675429938943,9.65815461702783,1
"Armenia",1990,51,0.09,0.47,0.56,"Armenia",0.965757938646876,10.0149098237681,10.37,0.847,0.379853303503158,0.563705360935686,0.0564413355611566,0.26760311,NA,NA,0.0547136,19.14201,415.59,10.0149098237681,0.965757938646876,0,0,0,0,1,0,0,0,0,0,7.47220867370921,7.06863070022317,7.89882861778199,0.72056014211275,0.68164230474669,0.761699963141947,10.0149098237681,1
"Armenia",1995,51,0.13,0.47,0.6,"Armenia",0.966061136613237,10.3271935503955,10.69,0.889,0.374144368388301,0.541941505911637,0.0839141257000622,0.21130911,NA,NA,0.0204181,16.76063,446.97665,10.3271935503955,0.966061136613237,0,0,0,0,0,1,0,0,0,0,8.07751831565171,7.80378506892398,8.36085329919078,0.75561443551466,0.730007957803927,0.782119111243291,10.3271935503955,1
"Armenia",2000,51,0.16,0.4,0.56,"Armenia",0.963678305714507,10.4559096170024,10.85,0.912,0.354746330827557,0.545217872368121,0.100035796804322,0.0059983826,NA,NA,0.024018,19.94676,464.11499,10.4559096170024,0.963678305714507,0,0,0,0,0,0,1,0,0,0,10.7774763044014,10.4789866436825,11.0844683213676,0.99331578842409,0.965805220615899,1.02160998353619,10.4559096170024,1
"Armenia",2005,51,0.17,0.32,0.49,"Armenia",0.962229021676018,10.5364077873524,10.95,0.925,0.317459257280256,0.565722682340369,0.116818060379375,0.12786404,NA,NA,0.0309205,20.58218,482.68,10.5364077873524,0.962229021676018,0,0,0,0,0,0,0,1,0,0,9.55413069198177,9.27820968339692,9.83825720632435,0.872523350865915,0.847325085241728,0.898470977746516,10.5364077873524,1
"Armenia",2010,51,0.15,0.27,0.43,"Armenia",0.958536818423745,10.5439050026612,11,0.926,0.279437489281427,0.613342479849083,0.107220030869491,0.0025559235,NA,NA,0.0216925,15.14557,469.07,10.5439050026612,0.958536818423745,0,0,0,0,0,0,0,0,1,0,11.01874537076,10.6976407163121,11.3494884307071,1.00170412461455,0.972512792392005,1.03177167551883,10.5439050026612,1
"Armenia",2015,51,0.16,0.29,0.44,"Armenia",0.972575934936637,10.7275125623511,11.03,0.941,0.260866584395996,0.630056218291512,0.109077197312491,0.0026393127,NA,NA,0.0275721,15.41859,443.18668,10.7275125623511,0.972575934936637,0,0,0,0,0,0,0,0,0,1,10.9228457157894,10.5833174487428,11.2732665450862,0.990285196354435,0.959502941862451,1.02205499048832,10.7275125623511,1
"Aruba",1970,533,0.07,0.64,0.7,"Aruba",NA,NA,4.97,0.083,0.483925549915398,0.475465313028765,0.0406091370558376,0.17808514,NA,NA,0.0431306,31.97295,356.81747,NA,NA,1,0,0,0,0,0,0,0,0,0,3.49564980584693,3.34906252578608,3.64865315921492,0.703350061538618,0.673855638991163,0.734135444510045,3.49564980584693,2
"Aruba",1975,533,0.09,0.5,0.6,"Aruba",NA,NA,5.66,0.117,0.42504118616145,0.515650741350906,0.0593080724876442,0.2110346,NA,NA,0.0529002,28.13298,350.13376,NA,NA,0,1,0,0,0,0,0,0,0,0,3.76071416827926,3.60459778820254,3.9235920029094,0.664437132204817,0.636854732897975,0.693214134789647,3.76071416827926,2
"Aruba",1980,533,0.1,0.4,0.5,"Aruba",NA,NA,6.28,0.149,0.381031613976705,0.550748752079867,0.0682196339434276,0.13758053,NA,NA,0.0377674,24.72464,348.72498,NA,NA,0,0,1,0,0,0,0,0,0,0,4.45648092490817,4.26469184759191,4.65689502168476,0.709630720526778,0.679091058533744,0.741543793261904,4.45648092490817,2
"Aruba",1985,533,0.11,0.36,0.47,"Aruba",NA,NA,6.94,0.187,0.334920634920635,0.592063492063492,0.073015873015873,0.16747963,NA,NA,0.0338099,24.19762,350.52875,NA,NA,0,0,0,1,0,0,0,0,0,0,4.65652064513519,4.45920529733167,4.86256699855134,0.670968392670777,0.64253678635903,0.700658068955524,4.65652064513519,2
"Aruba",1990,533,0.11,0.36,0.48,"Aruba",NA,NA,7.45,0.225,0.315112540192926,0.607717041800643,0.0771704180064309,0.10757634,NA,NA,0.0410541,21.63677,332.75375,NA,NA,0,0,0,0,1,0,0,0,0,0,5.33264149100938,5.09755961993707,5.57856452731117,0.715790804162333,0.68423619059558,0.748800607692775,5.33264149100938,2
