"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"China",2015,156,8.64,NA,NA,0.318,0.234679165881684,0.668561457416526,0.09675937670179,"China",0.03159111,554.72,NA,NA,0.38,0.24,0.13,0.274,0.055,0.005,1.06,NA
"Colombia",2015,170,8.51,0.880254915900342,7.49096933431191,0.491,0.32725474708147,0.602364677857734,0.0703805750607962,"Colombia",0.053361993,413.67,NA,NA,0.46,0.35,0.1,0.394,0.139,0.026,0.97,7.49096933431191
"Comoros",2015,174,7.18,NA,NA,0.249,0.506109324758842,0.464951768488746,0.0289389067524116,"Comoros",0.4118298,297.43,4.2442661197,5.10633103906,0.76,0.7,0.05,0.135,0,0,1.02,3.39541289576
"Congo",2015,178,8.43,NA,NA,0.194,0.522590331298168,0.443739365428886,0.0336703032729457,"Congo",0.19701241,NA,6.8340281007,7.43053501872,0.84,0.78,0.06,0.076,0,0,1,5.46722248056
"Costa Rica",2015,188,9.14,NA,NA,0.416,0.305689027561102,0.605283411336453,0.0890275611024441,"Costa Rica",0.021362076,422.54,NA,NA,0.45,0.32,0.13,0.211,0,0,1,NA
"Cote d'Ivoire",2015,384,4.64,NA,NA,0.122,0.53711085431355,0.434034044431749,0.0288551012547013,"Cote d'Ivoire",0.52834648,259.79,2.09814302608,2.3168725008,0.84,0.79,0.05,0.055,0,0,1.03,1.678514420864
"Croatia",2015,191,12.03,NA,NA,0.847,0.205315834198848,0.605868189972618,0.188815975828534,"Croatia",0.0051741338,491.55,NA,NA,0.51,0.22,0.28,0.428,0.145,0.014,0.93,NA
"Cuba",2015,192,11.25,NA,NA,0.597,0.223994276690601,0.636953733674173,0.139051989635226,"Cuba",0.014323975,507.91,NA,NA,0.43,0.23,0.2,0.122,0,0,1,NA
"Curaçao",2015,531,10.55,NA,NA,0.486,0.25506329113924,0.589873417721519,0.15506329113924,"Curacao",0.070446215,NA,NA,NA,0.52,0.29,0.24,0.189,0,0,0.84,NA
"Cyprus",2015,196,13.01,1.0262772292919,13.3518667530876,0.829,0.236109914721337,0.635541390300629,0.128348694978034,"Cyprus",0.0081683058,518,NA,NA,0.42,0.24,0.18,0.421,0,0,1,13.3518667530876
"Czech Republic",2015,203,13.02,1.04368984090454,13.5888417285771,0.907,0.194301129021609,0.625725092198715,0.179973778779676,"Czech Republic",0.002007187,516.2,NA,NA,0.5,0.23,0.27,0.448,0.173,0.137,0.97,13.5888417285771
